sampleID,pond,doy,year,time,depth_m,temp_C,do_sat,do_mgl,spcond_uScm,pH,chl_ugl,pc_ugl,
P24-271-T0-C,Tiedemans,271,2024,9:11,0,18.8,105.5,9.84,219.5,9.07,352.77,10.35,
P24-271-T0-C,Tiedemans,271,2024,9:11,0.25,18.6,100.9,9.44,213.1,8.96,415.06,11.85,
P24-271-T0-C,Tiedemans,271,2024,9:11,0.5,18.6,98.6,9.21,212.7,8.85,399.29,11.88,
P24-271-T0-C,Tiedemans,271,2024,9:11,0.75,18.5,67.7,9.15,212.6,8.83,414.14,15.26,
P24-271-T0-C,Tiedemans,271,2024,9:11,1,18.5,97.5,9.09,213.2,8.74,525.09,18.2,
P24-271-W0-C,LakeviewWest,271,2024,12:40,0,21.5,131.3,11.64,228.4,9.59,78.93,4.12,
P24-271-W0-C,LakeviewWest,271,2024,12:40,0.25,20.6,131.4,11.92,229,9.66,158.17,7.61,
P24-271-W0-C,LakeviewWest,271,2024,12:40,0.5,19.1,113.1,10.37,226,9.26,203.14,7.9,
P24-271-W0-C,LakeviewWest,271,2024,12:40,0.75,18.8,80.5,7.69,224.2,8.57,217.22,8.57,
P24-271-W0-C,LakeviewWest,271,2024,12:40,1,18.6,63.5,5.87,225.7,8.11,474.52,18.21,
P24-271-W0-C,LakeviewWest,271,2024,12:40,1.25,18.6,50.3,4.68,226.5,7.86,578.29,30,
P24-278-S0-S,Strickers,278,2024,9:20,0,16.8,160.8,15.6,233,10.57,196.85,8.17,
P24-278-S0-S,Strickers,278,2024,9:20,0.25,16.9,163.7,15.85,233.4,10.59,200.29,8.02,
P24-278-S0-S,Strickers,278,2024,9:20,0.5,16.9,165.1,15.97,233.5,10.6,204.07,7.99,
P24-278-S0-S,Strickers,278,2024,9:20,0.75,16.9,165.7,16.02,233.1,10.6,214.98,8.6,
P24-292-F0-S,Forebay,292,2024,9:41,0,8.4,1.9,0.21,739,6.94,60.83,1.2,
P24-292-S0-C,Strickers,292,2024,10:15,0,10,108.4,12.44,205.1,10.2,61.57,7.09,
P24-292-S0-C,Strickers,292,2024,10:15,0.25,9.9,116.7,13.25,211.2,10.21,87.98,8.35,
P24-292-S0-C,Strickers,292,2024,10:15,0.5,9.9,119.2,13.51,211.3,10.19,152.34,10.23,
P24-292-S0-C,Strickers,292,2024,10:15,0.75,9.9,115.7,13.02,207.3,9.98,257.63,16.15,
P24-292-T0-C,Tiedemans,292,2024,9:07,0,8.8,70.4,7.94,252.6,8.29,214.2,8.38,
P24-292-T0-C,Tiedemans,292,2024,9:07,0.25,8.8,62.3,7.19,252.4,8.07,248.3,9.65,
P24-292-T0-C,Tiedemans,292,2024,9:07,0.5,8.4,59.5,7.91,251.1,7.89,292.69,11.29,
P24-292-T0-C,Tiedemans,292,2024,9:07,0.75,8.3,59,6.92,249.8,7.76,350.03,14.08,
P24-292-W0-C,LakeviewWest,292,2024,11:11,0,12.5,107.6,11.55,263.8,8.51,64.29,2.6,
P24-292-W0-C,LakeviewWest,292,2024,11:11,0.25,12,109.9,11.89,261.1,8.35,70.05,277,
P24-292-W0-C,LakeviewWest,292,2024,11:11,0.5,11.2,109.7,12.05,260.6,8.22,151.27,4.39,
P24-292-W0-C,LakeviewWest,292,2024,11:11,0.75,10.9,107.2,11.78,260.5,8.08,173.24,4.71,
P24-292-W0-C,LakeviewWest,292,2024,11:11,1,10.9,105.4,11.6,260.4,8.03,259.53,6.85,
P24-292-W0-C,LakeviewWest,292,2024,11:11,1.25,10.9,102.4,11.26,263.3,7.93,855.54,44.32,
P24-306-F0-S,Forebay,306,2024,9:30,0,10.7,0,0,254.6,7.81,30.51,0.74,
P24-306-S0-C,Strickers,306,2024,10:06,0,12.1,85.8,9.1,152.4,8.03,89.02,7.99,
P24-306-S0-C,Strickers,306,2024,10:06,0.25,12.1,78.2,8.39,152.5,8.2,157.64,9.42,
P24-306-S0-C,Strickers,306,2024,10:06,0.5,12.1,76.9,8.26,152.5,8.27,155.65,9.46,
P24-306-S0-C,Strickers,306,2024,10:06,0.75,12.1,75.9,8.16,152.6,8.31,188.89,9.97,
P24-306-S0-C,Strickers,306,2024,10:06,1,12.1,75.3,8.1,153,8.31,178.88,10.12,
P24-306-T0-C,Tiedemans,306,2024,9:00,0,7.6,76.8,8.96,174.1,9.51,250.5,10.12,rained 2-3 inches two nights before
P24-306-T0-C,Tiedemans,306,2024,9:00,0.25,7.5,71,8.49,172,9.29,344.28,14.14,
P24-306-T0-C,Tiedemans,306,2024,9:00,0.5,7.3,69,8.3,173.2,9.11,393.23,13.22,
P24-306-T0-C,Tiedemans,306,2024,9:00,0.75,7.3,67.8,8.15,173.8,8.82,348.39,13.21,
P24-306-W0-C,LakeviewWest,306,2024,10:50,0,14.4,49.9,5.09,104.1,7.79,95.82,2.19,
P24-306-W0-C,LakeviewWest,306,2024,10:50,0.25,14.3,48.2,4.91,104.2,7.65,86.05,2.29,
P24-306-W0-C,LakeviewWest,306,2024,10:50,0.5,14.3,46.1,4.71,104.1,7.57,104.99,2.74,
P24-306-W0-C,LakeviewWest,306,2024,10:50,0.75,14.2,41.3,4.22,104.2,7.51,115.03,2.91,
P24-306-W0-C,LakeviewWest,306,2024,10:50,1,14,37.8,3.89,105.1,7.44,128.06,3.05,
P24-306-W0-C,LakeviewWest,306,2024,10:50,1.25,14,37.4,3.85,105.2,7.39,337.12,14.01,
